mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=261.128282948	met62014	Camelinin	HMDB0039082	Food	Organic compounds	Membrane	261.12210574	C12H23NOS2
m/z=261.128282948	met41078	Gamma glutamyl ornithine	HMDB0002248	Endogenous	Organic compounds	NULL	261.13247073	C10H19N3O5
m/z=261.128282948	met22870	Lysyl-Aspartate	HMDB0028947	Endogenous	Organic compounds	NULL	261.13247073	C10H19N3O5
m/z=261.128282948	met15228	Aspartyl-Lysine	HMDB0028758	Endogenous	Organic compounds	NULL	261.13247073	C10H19N3O5
m/z=261.128282948	met23552	Methylmalonylcarnitine	HMDB0013133	Endogenous|Food	Organic compounds	Extracellular|Membrane	261.12123734	C11H19NO6
m/z=261.128282948	met61269	Aspartylysine	HMDB0004985	Endogenous	Organic compounds	NULL	261.13247073	C10H19N3O5
m/z=266.173889904	met31817	(3xi,6E)-1,7-Diphenyl-6-hepten-3-ol	HMDB0030146	Endogenous|Food	Organic compounds	Membrane	266.16706533	C19H22O
m/z=266.173889904	met21388	14,19-Didehydrocondyfolan	HMDB0030356	Endogenous|Food	Alkaloids and derivatives	Membrane	266.17829871	C18H22N2
m/z=269.19280109	met49086	N-[(Ethoxycarbonyl)methyl)-p-menthane-3-carboxamide	HMDB0032255	Endogenous|Food	Organic acids and derivatives	Membrane	269.19909374	C15H27NO3
m/z=269.192916613	met49086	N-[(Ethoxycarbonyl)methyl)-p-menthane-3-carboxamide	HMDB0032255	Endogenous|Food	Organic acids and derivatives	Membrane	269.19909374	C15H27NO3
m/z=270.169211863	met11053	Estrone	HMDB0000145	Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	270.16197995	C18H22O2
m/z=270.169211863	met54429	15-Octadecene-9,11,13-triynoic acid	HMDB0032673	Endogenous|Food	Organic compounds	Extracellular|Membrane	270.16197995	C18H22O2
m/z=270.168935047	met11053	Estrone	HMDB0000145	Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	270.16197995	C18H22O2
m/z=270.168935047	met54429	15-Octadecene-9,11,13-triynoic acid	HMDB0032673	Endogenous|Food	Organic compounds	Extracellular|Membrane	270.16197995	C18H22O2
m/z=270.205313327	met9582	Phenol-formaldehyde, cross-linked, triethylenetetramine activated	HMDB0032466	Endogenous|Food	Benzenoids	NULL	270.2055761	C13H26N4O2
m/z=270.205241384	met9582	Phenol-formaldehyde, cross-linked, triethylenetetramine activated	HMDB0032466	Endogenous|Food	Benzenoids	NULL	270.2055761	C13H26N4O2
m/z=270.241635438	met50371	ar-Artemisene	HMDB0039155	Endogenous|Food	Organic compounds	Extracellular|Membrane	270.23475096	C20H30
m/z=271.069563972	met35670	Luteolinidin	HMDB0029249	Endogenous|Food	Phenylpropanoids and polyketides	Cytoplasm|Extracellular	271.06064846	C15H11O5
m/z=271.172457804	met32925	Arginyl-Proline	HMDB0028717	Endogenous	Organic compounds	NULL	271.16443956	C11H21N5O3
m/z=271.172457804	met8455	Prolyl-Arginine	HMDB0029011	Endogenous	Organic compounds	NULL	271.16443956	C11H21N5O3
m/z=271.208595235	met15276	Tridecanoylglycine	HMDB0013317	Endogenous	Organic compounds	Membrane (predicted from logP)	271.2147438	C15H29NO3
m/z=272.185047928	met69618	17a-Estradiol	HMDB0000429	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane (predicted from logP)	272.17763001	C18H24O2
m/z=272.185047928	met59735	Linalyl phenylacetate	HMDB0037216	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	272.17763001	C18H24O2
m/z=272.185047928	met48435	Estradiol	HMDB0000151	Drug|Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	272.17763001	C18H24O2
m/z=272.185047928	met49266	Geranyl phenylacetate	HMDB0038257	Endogenous|Food	Organic compounds	Extracellular|Membrane	272.17763001	C18H24O2
m/z=272.221011447	met46546	5alpha-Androst-16-en-3-one	HMDB0034406	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	272.21401552	C19H28O
m/z=272.221011447	met40690	5a-Androst-3-en-17-one 	HMDB0006046	Endogenous|Food	Organic compounds	Extracellular|Membrane	272.21401552	C19H28O
m/z=272.220869951	met46546	5alpha-Androst-16-en-3-one	HMDB0034406	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	272.21401552	C19H28O
m/z=272.220869951	met40690	5a-Androst-3-en-17-one 	HMDB0006046	Endogenous|Food	Organic compounds	Extracellular|Membrane	272.21401552	C19H28O
